permutation,null_auc
1,0.4901433691756273
2,0.49081541218638
3,0.3976254480286739
4,0.3804883512544803
5,0.5608198924731183
6,0.4886872759856631
7,0.4861111111111111
8,0.5528673835125448
9,0.5378584229390682
10,0.5498431899641576
11,0.45922939068100355
12,0.42853942652329746
13,0.5499551971326164
14,0.5537634408602151
15,0.3697356630824373
16,0.5333781362007168
17,0.4232750896057348
18,0.5359543010752689
19,0.5385304659498208
20,0.5692204301075268
21,0.515905017921147
22,0.41431451612903225
23,0.4900313620071684
24,0.5372983870967742
25,0.40893817204301075
26,0.49876792114695345
27,0.6223118279569891
28,0.515344982078853
29,0.6169354838709677
30,0.4233870967741935
31,0.39885752688172044
32,0.5304659498207884
33,0.5129928315412186
34,0.49921594982078854
35,0.45766129032258057
36,0.51747311827957
37,0.47748655913978494
38,0.6062948028673836
39,0.5509632616487455
40,0.4460125448028674
41,0.5273297491039426
42,0.5402105734767024
43,0.4154345878136201
44,0.4221550179211469
45,0.4931675627240144
46,0.4627016129032258
47,0.4979838709677419
48,0.40658602150537637
49,0.5539874551971327
50,0.5365143369175628
51,0.5115367383512545
52,0.5433467741935484
53,0.5583557347670252
54,0.44366039426523296
55,0.5086245519713262
56,0.5500672043010753
57,0.5551075268817205
58,0.5486111111111112
59,0.5072804659498208
60,0.5499551971326165
61,0.5398745519713262
62,0.5346102150537634
63,0.4025537634408602
64,0.47446236559139787
65,0.5672043010752688
66,0.5666442652329748
67,0.48151881720430106
68,0.42708333333333337
69,0.47311827956989244
70,0.5731406810035842
71,0.4028897849462367
72,0.4227150537634408
73,0.5187051971326164
74,0.36335125448028677
75,0.460013440860215
76,0.5301299283154122
77,0.39112903225806456
78,0.546594982078853
79,0.5276657706093191
80,0.5356182795698924
81,0.4861111111111111
82,0.5297939068100358
83,0.5124327956989247
84,0.5364023297491038
85,0.5140008960573477
86,0.5327060931899641
87,0.5347222222222222
88,0.4875672043010753
89,0.4931675627240143
90,0.5406586021505376
91,0.485663082437276
92,0.547603046594982
93,0.5071684587813621
94,0.5841173835125448
95,0.6234318996415771
96,0.4369399641577061
97,0.4152105734767025
98,0.46796594982078854
99,0.5146729390681004
100,0.49899193548387094
# real_auc,0.8271729390681004
# empirical_p_value,0.009900990099009901
# null_mean,0.5005846774193548
# null_std,0.05848532909350813
