subset,features,n,cv_auc,ci_lo,ci_hi
whole_cohort,monocyte_score_only,189,0.7311827956989247,0.6546991350326047,0.8032227290123799
whole_cohort,four_composition_scores,189,0.7553763440860215,0.6833682253800397,0.8232468332518734
female_only,monocyte_score_only,132,0.6984722594478693,0.5952435778987138,0.79649890363947
female_only,four_composition_scores,132,0.7124095416778343,0.6085614414014597,0.8014735509395625
