score,n_markers_present,mean_FM,mean_control,mannwhitney_p
monocyte,6,-0.39847618757199804,0.2243734689539653,0.00020901677099651294
t_cell,5,-0.1470478141715773,0.1381185503931189,0.09648372708954663
b_cell,4,-0.07579498816296262,0.023050757844429306,0.40316051048005674
nk_cell,5,-0.009488619878646912,-0.07508209903069563,0.6438996761319788
