gene_ensembl_id,Hugo_Gene_Symbol,selection_frequency
ENSG00000115221.12,ITGB6,0.02
ENSG00000271254.6,ENSG00000271254,0.02
ENSG00000042980.13,ADAM28,0.02
ENSG00000175538.11,KCNE3,0.02
ENSG00000196460.14,RFX8,0.02
ENSG00000177548.13,RABEP2,0.02
ENSG00000265973.1,RP11-163O19.16,0.02
ENSG00000213401.10,MAGEA12,0.02
ENSG00000104611.12,SH2D4A,0.02
ENSG00000151572.18,ANO4,0.02
ENSG00000197653.16,DNAH10,0.02
ENSG00000169064.13,ZBBX,0.02
ENSG00000178690.4,DYNAP,0.02
ENSG00000197646.8,PDCD1LG2,0.02
ENSG00000168542.16,COL3A1,0.02
ENSG00000253517.1,XRCC6P4,0.02
ENSG00000126752.8,SSX1,0.02
ENSG00000176697.20,BDNF,0.02
ENSG00000183560.9,IZUMO1R,0.02
ENSG00000253148.1,RGS21,0.02
ENSG00000007080.11,CCDC124,0.02
ENSG00000213694.6,S1PR3,0.02
MSTRG.614849,,0.02
ENSG00000176087.16,SLC35A4,0.02
ENSG00000169896.18,ITGAM,0.02
ENSG00000197415.12,VEPH1,0.02
ENSG00000166473.17,PKD1L2,0.02
MSTRG.290375,,0.02
ENSG00000115504.15,EHBP1,0.02
ENSG00000161671.17,EMC10,0.02
ENSG00000007376.8,RPUSD1,0.02
ENSG00000159167.12,STC1,0.02
ENSG00000108179.14,PPIF,0.02
ENSG00000159166.15,LAD1,0.02
ENSG00000168916.16,ZNF608,0.02
ENSG00000146950.13,SHROOM2,0.02
ENSG00000129170.10,CSRP3,0.02
ENSG00000132793.12,LPIN3,0.02
ENSG00000085276.19,MECOM,0.02
ENSG00000253415.1,RP11-44N12.4,0.02
ENSG00000178209.16,PLEC,0.02
ENSG00000178462.12,TUBAL3,0.02
ENSG00000106304.16,SPAM1,0.02
ENSG00000196576.16,PLXNB2,0.02
ENSG00000107890.17,ANKRD26,0.02
ENSG00000106263.18,EIF3B,0.02
ENSG00000108312.15,UBTF,0.02
ENSG00000147081.15,AKAP4,0.02
ENSG00000177674.16,AGTRAP,0.02
ENSG00000197405.8,C5AR1,0.02
ENSG00000129151.9,BBOX1,0.02
ENSG00000109511.12,ANXA10,0.02
ENSG00000117877.11,POLR1G,0.02
ENSG00000205784.4,ARRDC5,0.02
ENSG00000095627.9,TDRD1,0.02
ENSG00000005381.8,MPO,0.02
ENSG00000117362.13,APH1A,0.02
ENSG00000159495.8,TGM7,0.02
MSTRG.428577,,0.02
ENSG00000171169.9,NAIF1,0.02
ENSG00000050030.16,NEXMIF,0.02
ENSG00000213203.3,GIMAP1,0.02
MSTRG.846835,,0.02
ENSG00000100077.15,GRK3,0.02
ENSG00000162621.7,LRRC53,0.02
ENSG00000285816.1,RP11-867O8.9,0.02
ENSG00000171051.9,FPR1,0.02
ENSG00000128683.14,GAD1,0.02
ENSG00000147481.17,SNTG1,0.02
ENSG00000171105.14,INSR,0.02
ENSG00000169228.14,RAB24,0.02
ENSG00000144655.15,CSRNP1,0.02
ENSG00000183864.5,TOB2,0.02
ENSG00000144671.11,SLC22A14,0.02
ENSG00000090382.7,LYZ,0.02
ENSG00000234259.3,CTC-507E12.1,0.02
ENSG00000182578.14,CSF1R,0.02
ENSG00000132205.11,EMILIN2,0.02
ENSG00000284800.1,RP11-353J17.5,0.02
ENSG00000243955.6,GSTA1,0.02
MSTRG.385611,,0.02
ENSG00000147573.17,TRIM55,0.02
ENSG00000111144.10,LTA4H,0.02
ENSG00000144395.18,CCDC150,0.02
ENSG00000001630.17,CYP51A1,0.02
ENSG00000134343.14,ANO3,0.02
MSTRG.858624,,0.02
ENSG00000115828.17,QPCT,0.02
ENSG00000107186.17,MPDZ,0.02
ENSG00000134297.6,PLEKHA8P1,0.02
ENSG00000146385.1,TAAR8,0.02
ENSG00000171223.6,JUNB,0.02
ENSG00000119408.17,NEK6,0.02
ENSG00000081800.9,SLC13A1,0.02
ENSG00000186111.11,PIP5K1C,0.02
ENSG00000160753.16,RUSC1,0.02
ENSG00000107404.20,DVL1,0.02
ENSG00000168334.9,XIRP1,0.02
ENSG00000170927.15,PKHD1,0.02
ENSG00000004399.13,PLXND1,0.02
ENSG00000106648.14,GALNTL5,0.02
ENSG00000158869.11,FCER1G,0.02
ENSG00000130764.10,LRRC47,0.02
ENSG00000175489.10,LRRC25,0.02
ENSG00000162444.12,RBP7,0.02
ENSG00000139370.12,SLC15A4,0.02
ENSG00000138658.16,ZGRF1,0.02
ENSG00000046651.16,OFD1,0.02
ENSG00000106692.15,FKTN,0.02
ENSG00000167216.18,KATNAL2,0.02
ENSG00000167208.15,SNX20,0.02
ENSG00000185669.6,SNAI3,0.02
ENSG00000104321.11,TRPA1,0.02
ENSG00000091129.21,NRCAM,0.02
