permutation,null_auc
1,0.49126344086021506
2,0.5110887096774194
3,0.40109767025089604
4,0.3894489247311828
5,0.5381944444444444
6,0.5090725806451613
7,0.48241487455197135
8,0.536402329749104
9,0.5492831541218638
10,0.5486111111111112
11,0.4562051971326164
12,0.42965949820788535
13,0.549171146953405
14,0.5406586021505377
15,0.39112903225806456
16,0.5693324372759857
17,0.4131944444444444
18,0.5464829749103943
19,0.5397625448028673
20,0.5725806451612904
21,0.5156810035842294
22,0.3986335125448029
23,0.5099686379928315
24,0.5321460573476703
25,0.4053539426523297
26,0.4548611111111111
27,0.5986783154121864
28,0.5154569892473118
29,0.6297043010752689
30,0.467181899641577
31,0.40613799283154123
32,0.5334901433691756
33,0.520497311827957
34,0.4988799283154122
35,0.44814068100358423
36,0.5007840501792115
37,0.46830197132616486
38,0.6146953405017921
39,0.5810931899641577
40,0.45620519713261654
41,0.5085125448028673
42,0.5375224014336917
43,0.4135304659498208
44,0.40423387096774194
45,0.5029121863799283
46,0.47535842293906805
47,0.49137544802867383
48,0.3949372759856631
49,0.5400985663082437
50,0.5309139784946236
51,0.5276657706093191
52,0.5630600358422939
53,0.5268817204301075
54,0.4303315412186379
55,0.5125448028673836
56,0.5591397849462366
57,0.5809811827956989
58,0.5480510752688172
59,0.492831541218638
60,0.5483870967741935
61,0.5309139784946236
62,0.54043458781362
63,0.4022177419354839
64,0.505600358422939
65,0.5642921146953406
66,0.5735887096774193
67,0.4747983870967742
68,0.4213709677419355
69,0.4970878136200717
70,0.5668682795698925
71,0.49081541218637986
72,0.44209229390681004
73,0.49316756272401435
74,0.37712813620071683
75,0.45777329749103945
76,0.5443548387096775
77,0.3817204301075268
78,0.5553315412186379
79,0.4965277777777778
80,0.5028001792114696
81,0.4500448028673835
82,0.49551971326164873
83,0.5148969534050178
84,0.5295698924731184
85,0.5201612903225807
86,0.5315860215053764
87,0.5383064516129032
88,0.49283154121863804
89,0.4893593189964159
90,0.5265456989247311
91,0.48084677419354843
92,0.5591397849462366
93,0.504144265232975
94,0.5814292114695341
95,0.6096550179211468
96,0.3953853046594983
97,0.41330645161290325
98,0.4307795698924731
99,0.5007840501792113
100,0.47782258064516125
# real_auc,0.8407258064516129
# empirical_p_value,0.009900990099009901
# null_mean,0.499712141577061
# null_std,0.05867242598505021
