train_fraction,approx_n_train,n_fold_evals,auc_mean,auc_std,auc_ci_lo,auc_ci_hi
0.3,46,100,0.8062044475223147,0.07903448649085291,0.6616343490304709,0.9488227146814404
0.5,76,100,0.8089636811326563,0.08108646987866652,0.6546021852877808,0.9432825484764542
0.7,106,100,0.8283763465681746,0.06034229814942742,0.689206486611265,0.9196675900277008
0.85,129,100,0.8341315020006155,0.06734552878108836,0.6826908279470606,0.9430555555555554
1.0,152,100,0.8424528316405047,0.0629518738317794,0.7192434210526316,0.9420285087719297
