Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,FM2_CLEAR_lysosomal,-0.8561479784541541,-2.745717072764452,0.0,0.0,0.0,20/23,12.32%,NPC2;CTSZ;ATP6V0B;ATP6V0C;PSAP;GAA;CTSA;CTSD;GNS;GABARAP;ASAH1;ATP6V0D1;IFI30;MCOLN1;LAMP1;LAMP2;ATP6V1B2;HEXB;HEXA;TFEB
prerank,FM3_FM4_interferon_JAKSTAT_death_receptor,-0.6208450558734757,-2.1237525659550203,0.0,0.0,0.0,15/30,16.45%,TNFRSF10B;OAS1;JAK1;ISG15;TYK2;FADD;OAS2;MX2;ISG20;MX1;STAT1;TNFRSF10A;MLKL;CASP8;STAT2
prerank,FM1_ECM_RhoGDI_collagen_GP6,-0.36794675445601205,-1.281315327592466,0.1044776119402985,0.11996497373029773,0.17810026385224276,14/35,10.31%,ARHGDIA;TIMP2;TIMP1;ITGA2B;RHOB;GP9;CDC42;RHOA;RHOC;GP1BA;ITGB3;SPARC;RAC1;ARHGDIB
