outer_fold,roc_auc,pr_auc,best_params,roc_auc_ci_lo,roc_auc_ci_hi
0,0.7388888888888889,0.8108273254835225,"{'clf__C': 1, 'clf__penalty': 'l1', 'select__k': 200}",,
1,0.8836565096952909,0.8980326392416986,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'select__k': 50}",,
2,0.8836565096952907,0.9049620120087205,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'select__k': 100}",,
3,0.8614958448753463,0.8472572108381542,"{'clf__C': 10, 'clf__penalty': 'l2', 'select__k': 200}",,
4,0.8128654970760234,0.8735194723843702,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'select__k': 100}",,
"AGGREGATE (pooled OOF, bootstrap 95% CI)",0.8220206093189965,0.8240843536192313,,0.7568201560859491,0.8829800471743526
