outer_fold,roc_auc,pr_auc,best_params,roc_auc_ci_lo,roc_auc_ci_hi
0,0.7833333333333333,0.8528813711588856,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'select__k': 200}",,
1,0.8864265927977839,0.9007416175698721,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'select__k': 50}",,
2,0.8781163434903047,0.9021992055931682,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'select__k': 200}",,
3,0.8725761772853186,0.8794214652708607,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'select__k': 200}",,
4,0.850877192982456,0.9096594619302596,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'select__k': 100}",,
"AGGREGATE (pooled OOF, bootstrap 95% CI)",0.8567428315412188,0.8869921436380124,,0.801209880601338,0.9065638212590993
