permutation,null_auc
1,0.5532028946663092
2,0.5561511659072634
3,0.4588582149557759
4,0.5081747520771911
5,0.5207719110158134
6,0.5175556151165908
7,0.4559099437148218
8,0.5127311712677566
9,0.42026266416510316
10,0.6263736263736265
11,0.5483784508174752
12,0.4427767354596623
13,0.620477083891718
14,0.5223800589654248
15,0.5475743768426695
16,0.5599035111230233
17,0.5341731439292414
18,0.5926025194317878
19,0.6105601715357813
20,0.46984722594478695
21,0.5907263468239078
22,0.39935674082015543
23,0.6558563387831681
24,0.4451889573840793
25,0.5596354864647547
26,0.5483784508174753
27,0.5148753685339051
28,0.4186545162154918
29,0.5537389439828464
30,0.40284106137764675
31,0.3645135352452426
32,0.5599035111230233
33,0.5590994371482175
34,0.6202090592334494
35,0.456982042347896
36,0.5725006700616457
37,0.5073706781023853
38,0.47520771911015813
39,0.37443044760117933
40,0.42026266416510316
41,0.5044224068614314
42,0.49718574108818003
43,0.5963548646475476
44,0.562583757705709
45,0.4189225408737604
46,0.4961136424551058
47,0.5590994371482176
48,0.48137228625033496
49,0.45671401768962744
50,0.39399624765478425
51,0.4730635218440097
52,0.4845885821495578
53,0.5448941302599839
54,0.5617796837309033
55,0.3430715625837577
56,0.6017153578129188
57,0.5274725274725275
58,0.5489145001340124
59,0.5062985794693111
60,0.5465022782095953
61,0.5199678370410077
62,0.5719646207451086
63,0.5585633878316805
64,0.4918252479228089
65,0.5454301795765211
66,0.43688019297775393
67,0.6419190565532029
68,0.4363441436612168
69,0.43982846421870814
70,0.6164567140176896
71,0.4577861163227017
72,0.49825783972125437
73,0.521039935674082
74,0.49396944518895736
75,0.37282229965156793
76,0.540605735727687
77,0.5609756097560976
78,0.516215491825248
79,0.4551058697400161
80,0.5730367193781828
81,0.43661216831948535
82,0.38488340927365317
83,0.5542749932993835
84,0.38247118734923613
85,0.4937014205306889
86,0.637630662020906
87,0.49102117394800315
88,0.42267488608952025
89,0.4757437684266952
90,0.5258643795229161
91,0.4995979630125972
92,0.5331010452961672
93,0.5129991959260252
94,0.5084427767354597
95,0.3950683462878585
96,0.48968105065666045
97,0.5845617796837309
98,0.5569552398820692
99,0.6574644867327794
100,0.5786652372018225
# real_auc,0.7424283034039131
# empirical_p_value,0.009900990099009901
# null_mean,0.5105387295631199
# null_std,0.07054334035718975
