2026-08-29 14:24:22,434 | 03_nested_cv | INFO | [logreg] outer fold 3/5: AUC=0.870 PR-AUC=0.903 sens=0.842 spec=0.737 acc=0.789 best_params={'clf__C': 0.1, 'clf__penalty': 'l1', 'select__k': 200} (11.9s)
2026-08-29 14:24:34,451 | 03_nested_cv | INFO | [logreg] outer fold 4/5: AUC=0.842 PR-AUC=0.854 sens=0.789 spec=0.842 acc=0.816 best_params={'clf__C': 1, 'clf__penalty': 'l1', 'select__k': 50} (12.0s)
2026-08-29 14:24:46,782 | 03_nested_cv | INFO | [logreg] outer fold 5/5: AUC=0.804 PR-AUC=0.856 sens=0.684 spec=0.667 acc=0.676 best_params={'clf__C': 0.1, 'clf__penalty': 'l2', 'select__k': 200} (12.3s)
2026-08-29 14:24:54,647 | 03_nested_cv | INFO | === Nested CV: xgboost ===
2026-08-29 14:25:12,915 | 03_nested_cv | INFO | [xgboost] outer fold 1/5: AUC=0.736 PR-AUC=0.815 sens=0.650 spec=0.833 acc=0.737 best_params={'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 200, 'select__k': 200} (18.3s)
2026-08-29 14:25:27,163 | 03_nested_cv | INFO | [xgboost] outer fold 2/5: AUC=0.884 PR-AUC=0.892 sens=0.684 spec=0.842 acc=0.763 best_params={'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 200, 'select__k': 200} (14.2s)
2026-08-29 14:25:40,986 | 03_nested_cv | INFO | [xgboost] outer fold 3/5: AUC=0.842 PR-AUC=0.875 sens=0.737 spec=0.684 acc=0.711 best_params={'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 100, 'select__k': 100} (13.8s)
2026-08-29 14:25:54,387 | 03_nested_cv | INFO | [xgboost] outer fold 4/5: AUC=0.889 PR-AUC=0.901 sens=0.789 spec=0.737 acc=0.763 best_params={'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'select__k': 50} (13.4s)
2026-08-29 14:26:07,384 | 03_nested_cv | INFO | [xgboost] outer fold 5/5: AUC=0.804 PR-AUC=0.869 sens=0.684 spec=0.722 acc=0.703 best_params={'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'select__k': 100} (13.0s)
2026-08-29 14:26:17,838 | 03_nested_cv | INFO | Wrote results/performance_summary.csv
2026-08-29 14:26:17,841 | 03_nested_cv | INFO | Wrote results/outer_fold_predictions.csv
2026-08-29 14:26:17,841 | 03_nested_cv | INFO | SUMMARY logreg: AUC=0.821 [0.756, 0.880]  PR-AUC=0.841 [0.764, 0.908]
2026-08-29 14:26:17,841 | 03_nested_cv | INFO | SUMMARY xgboost: AUC=0.825 [0.766, 0.880]  PR-AUC=0.864 [0.810, 0.913]
2026-08-29 14:33:42,328 | 04_permutation_test | INFO | Computing real (non-permuted) nested-CV AUC with the reduced permutation-test grid (this differs slightly from the full-grid AUC in performance_summary.csv; used only as the reference point for the null comparison).
2026-08-29 14:33:52,839 | 04_permutation_test | INFO | Reduced-grid real AUC = 0.8272
2026-08-29 14:34:01,262 | 04_permutation_test | INFO | Permutation 1/30: AUC=0.4901 (8.4s)
2026-08-29 14:34:05,879 | 05_shap_explain | INFO | Best model family by nested-CV AUC: xgboost (see performance_summary.csv for the locked-in CV estimate; this script's own internal CV score below is NOT that estimate and must not be reported as one).
2026-08-29 14:34:10,854 | 04_permutation_test | INFO | Permutation 2/30: AUC=0.4908 (9.6s)
2026-08-29 14:34:31,980 | 04_permutation_test | INFO | Permutation 3/30: AUC=0.3976 (21.1s)
2026-08-29 14:34:34,693 | 05_shap_explain | INFO | Refit xgboost on full dataset for interpretation. best_params={'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'select__k': 50}, full-data CV AUC=0.841 (interpretation-only number, not a held-out estimate)
2026-08-29 14:34:34,708 | 05_shap_explain | INFO | Computing SHAP values for 50 selected features...
2026-08-29 14:34:34,837 | 05_shap_explain | INFO | Wrote results/shap_feature_importance.csv (50 genes, model=xgboost)
2026-08-29 14:34:36,274 | 05_shap_explain | INFO | Wrote figures/shap_summary.png
2026-08-29 14:34:37,109 | 05_shap_explain | INFO | Wrote figures/shap_dependence_top_genes.png
2026-08-29 14:34:40,433 | 04_permutation_test | INFO | Permutation 4/30: AUC=0.3805 (8.4s)
2026-08-29 14:34:47,001 | 04_permutation_test | INFO | Permutation 5/30: AUC=0.5608 (6.6s)
2026-08-29 14:34:53,268 | 04_permutation_test | INFO | Permutation 6/30: AUC=0.4887 (6.3s)
2026-08-29 14:34:59,633 | 04_permutation_test | INFO | Permutation 7/30: AUC=0.4861 (6.4s)
2026-08-29 14:35:06,135 | 04_permutation_test | INFO | Permutation 8/30: AUC=0.5529 (6.5s)
2026-08-29 14:35:12,471 | 04_permutation_test | INFO | Permutation 9/30: AUC=0.5379 (6.3s)
2026-08-29 14:35:18,801 | 04_permutation_test | INFO | Permutation 10/30: AUC=0.5498 (6.3s)
2026-08-29 14:35:25,729 | 04_permutation_test | INFO | Permutation 11/30: AUC=0.4592 (6.9s)
2026-08-29 14:35:32,439 | 04_permutation_test | INFO | Permutation 12/30: AUC=0.4285 (6.7s)
2026-08-29 14:35:39,095 | 04_permutation_test | INFO | Permutation 13/30: AUC=0.5500 (6.7s)
2026-08-29 14:35:45,416 | 04_permutation_test | INFO | Permutation 14/30: AUC=0.5538 (6.3s)
2026-08-29 14:35:51,906 | 04_permutation_test | INFO | Permutation 15/30: AUC=0.3697 (6.5s)
2026-08-29 14:35:58,293 | 04_permutation_test | INFO | Permutation 16/30: AUC=0.5334 (6.4s)
2026-08-29 14:36:05,028 | 04_permutation_test | INFO | Permutation 17/30: AUC=0.4233 (6.7s)
2026-08-29 14:36:11,682 | 04_permutation_test | INFO | Permutation 18/30: AUC=0.5360 (6.7s)
2026-08-29 14:36:18,662 | 04_permutation_test | INFO | Permutation 19/30: AUC=0.5385 (7.0s)
2026-08-29 14:36:25,573 | 04_permutation_test | INFO | Permutation 20/30: AUC=0.5692 (6.9s)
2026-08-29 14:36:32,240 | 04_permutation_test | INFO | Permutation 21/30: AUC=0.5159 (6.7s)
2026-08-29 14:36:38,883 | 04_permutation_test | INFO | Permutation 22/30: AUC=0.4143 (6.6s)
2026-08-29 14:36:45,805 | 04_permutation_test | INFO | Permutation 23/30: AUC=0.4900 (6.9s)
2026-08-29 14:36:52,509 | 04_permutation_test | INFO | Permutation 24/30: AUC=0.5373 (6.7s)
2026-08-29 14:36:59,188 | 04_permutation_test | INFO | Permutation 25/30: AUC=0.4089 (6.7s)
2026-08-29 14:37:06,089 | 04_permutation_test | INFO | Permutation 26/30: AUC=0.4988 (6.9s)
2026-08-29 14:37:12,918 | 04_permutation_test | INFO | Permutation 27/30: AUC=0.6223 (6.8s)
2026-08-29 14:37:19,310 | 04_permutation_test | INFO | Permutation 28/30: AUC=0.5153 (6.4s)
2026-08-29 14:37:25,925 | 04_permutation_test | INFO | Permutation 29/30: AUC=0.6169 (6.6s)
2026-08-29 14:37:32,170 | 04_permutation_test | INFO | Permutation 30/30: AUC=0.4234 (6.2s)
2026-08-29 14:37:32,177 | 04_permutation_test | INFO | Null AUC distribution: mean=0.4980 std=0.0662 min=0.3697 max=0.6223
